date,lolpatch,team,matchtype,gamenumber,side,victorydefeat,time,ban1,ban2,ban3,ban4,ban5,towersdestroyed,inhibitorsdestroyed,baronsslain,dragonsslain,riftheraldsslain,dragons,role,summoner,champion,kill,death,assist,largestkillingspree,largestmultikill,firstblood,totaldamagedealttochampions,physicaldamagedealttochampions,magicdamagedealttochampions,truedamagedealttochampions,totaldamagedealt,physicaldamagedealt,magicdamagedealt,truedamagedealt,largestcriticalstrike,totaldamagetoobjectives,totaldamagetoturrets,damagehealed,damagetaken,physicaldamagetaken,magicdamagetaken,truedamagetaken,wardsplaced,wardsdestroyed,stealthwardspurchased,controlwardspurchased,goldearned,goldspent,minionskilled,neutralminionskilled,neutralminionskilledinteamsjungle,neutralminionskilledinenemyjungle,kdaratio,killparticipation,damageperdeath,damageshare,damagepergold,goldadvantage,csadvantage,csperminute
2019-11-08,9.22,Purdue Fort Wayne,scrim,2,blue,defeat,31:10:00,Aatrox,Ahri,Akali,Blitzcrank,Katarina,2,0,0,1,1,Ocean,mid,KingBooty,Garen,8,6,6,3,2,0,27.4,18.6,0.2,8.5,113.8,84.2,0.3,29.3,164,7.8,2,3.2,26,14.5,7.7,3.8,16,4,0,6,11.4,11.5,126,8,8,0,2.333333333,0.736842105,4.566666667,0.298474946,2.403508772,-4.6,-63,4.299465241
2019-11-08,9.22,Purdue Fort Wayne,scrim,2,blue,defeat,31:10:00,Aatrox,Ahri,Akali,Blitzcrank,Katarina,2,0,0,1,1,Ocean,adc,Calsiver,Xayah,1,10,4,1,1,0,10.2,10.2,0.1,0,80.9,77,0.1,3.9,473,3.1,2.4,1.6,18.9,8.4,9.9,0.6,11,8,0,4,8,7.9,153,0,0,0,0.5,0.263157895,1.02,0.111111111,1.275,-3.8,14,4.909090909
2019-11-08,9.22,Purdue Fort Wayne,scrim,2,blue,defeat,31:10:00,Aatrox,Ahri,Akali,Blitzcrank,Katarina,2,0,0,1,1,Ocean,sup,Gem27,Nami,1,9,13,1,1,0,8.7,0.6,8,0.1,17,1.2,13.1,2.7,0,1.6,1.6,4.9,14.1,7,6.2,0.9,10,2,0,4,7.8,7,4,0,0,0,1.555555556,0.736842105,0.966666667,0.094771242,1.115384615,-1.5,-12,0.128342246
2019-11-08,9.22,Lindenwood University,scrim,2,red,victory,31:10:00,Zed,Zilean,Zoe,Ziggs,Ornn,11,3,1,3,0,Ocean Ocean Mountain,top,PoppyaOn,Kled,6,5,13,3,1,0,21,19.9,0,1.2,168.9,166.5,0,2.4,0,17,8.4,5.3,40.3,24.9,8.9,6.5,11,2,0,3,14.1,13.9,202,24,4,5,3.8,0.452380952,4.2,0.21319797,1.489361702,3.2,58,7.251336898
2019-11-08,9.22,Lindenwood University,scrim,2,red,victory,31:10:00,Zed,Zilean,Zoe,Ziggs,Ornn,11,3,1,3,0,Ocean Ocean Mountain,jng,MoonJuices,Zac,11,1,21,8,2,0,30.2,2.2,26.5,1.6,219.5,33.1,175.2,11.1,0,17.8,2.8,58.2,48.1,36.4,8,3.7,8,3,0,0,16,12.8,54,173,106,28,32,0.761904762,30.2,0.306598985,1.8875,5.8,102,7.28342246
2019-11-08,9.22,Lindenwood University,scrim,2,red,victory,31:10:00,Zed,Zilean,Zoe,Ziggs,Ornn,11,3,1,3,0,Ocean Ocean Mountain,mid,VinaZz VI,Camille,15,2,9,12,2,0,25.9,20,0.4,5.4,156.7,133.8,0.4,22.5,0,12.7,7.9,5.7,21.6,13.9,5.4,2.3,11,5,0,3,16,13.6,193,4,1,0,12,0.571428571,12.95,0.262944162,1.61875,4.6,63,6.320855615
2019-11-08,9.22,Lindenwood University,scrim,2,red,victory,31:10:00,Zed,Zilean,Zoe,Ziggs,Ornn,11,3,1,3,0,Ocean Ocean Mountain,adc,Puzyri,Kog'Maw,7,4,11,3,1,0,13,5.7,6.6,0.7,88.1,60.5,19.8,7.8,345,16.2,5.2,2.8,11.1,6.6,2.6,1.9,8,2,0,4,11.8,11.3,135,4,4,0,4.5,0.428571429,3.25,0.131979695,1.101694915,3.8,-14,4.459893048
2019-11-08,9.22,Lindenwood University,scrim,2,red,victory,31:10:00,Zed,Zilean,Zoe,Ziggs,Ornn,11,3,1,3,0,Ocean Ocean Mountain,sup,Kendallizer,Thresh,3,7,17,3,2,0,8.4,0.6,6.6,1.1,14.6,2.5,10.8,1.3,0,2.1,2.1,1,17,10.9,4.7,1.4,23,14,0,7,9.3,6.9,16,0,0,0,2.857142857,0.476190476,1.2,0.085279188,0.903225806,1.5,12,0.513368984
2019-11-08,9.22,Lindenwood University,scrim,3,blue,victory,29:40:00,Morgana,Caitlyn,Jax,Lulu,Syndra,11,2,1,2,0,Mountain Ocean,top,PoppyaOn,Camille,10,3,4,6,3,0,19,13,0.6,5.3,157.2,130.2,0.7,26.2,0,26.9,12.4,1.8,24,16.9,4.1,3,14,3,0,5,14.5,12,177,23,8,11,4.666666667,0.518518519,6.333333333,0.323129252,1.310344828,6.9,114,6.741573034
2019-11-08,9.22,Lindenwood University,scrim,3,blue,victory,29:40:00,Morgana,Caitlyn,Jax,Lulu,Syndra,11,2,1,2,0,Mountain Ocean,jng,MoonJuices,Warwick,5,3,10,3,1,1,11.7,4.4,6.3,0.9,164.3,88.9,64.3,11.1,0,23.2,2.7,15.5,27.9,15.2,8.6,4,8,2,0,0,12.5,10.8,61,123,76,15,5,0.555555556,3.9,0.198979592,0.936,3.8,77,6.202247191
2019-11-08,9.22,Lindenwood University,scrim,3,blue,victory,29:40:00,Morgana,Caitlyn,Jax,Lulu,Syndra,11,2,1,2,0,Mountain Ocean,mid,VinaZz VI,Ryze,7,5,2,6,2,0,15.5,0.4,15,0.1,156.9,8.8,145.8,2.3,0,4.7,3.2,3,14.3,6.2,5.9,2.1,11,0,0,2,12.1,11.7,180,30,24,6,1.8,0.333333333,3.1,0.263605442,1.280991736,1.4,55,7.078651685
2019-11-08,9.22,Lindenwood University,scrim,3,blue,victory,29:40:00,Morgana,Caitlyn,Jax,Lulu,Syndra,11,2,1,2,0,Mountain Ocean,adc,Puzyri,Jhin,1,1,10,1,1,0,4.7,4.5,0.2,0,62.3,59.8,0.4,2.1,1267,9.6,4,1.9,6.2,3.6,1.7,0.9,12,2,0,7,8.7,8.9,104,12,8,0,11,0.407407407,4.7,0.079931973,0.540229885,-2.8,-54,3.91011236
2019-11-08,9.22,Lindenwood University,scrim,3,blue,victory,29:40:00,Morgana,Caitlyn,Jax,Lulu,Syndra,11,2,1,2,0,Mountain Ocean,sup,Kendallizer,Lux,4,6,12,2,1,0,7.9,0.7,6.6,0.7,11.9,1,10.1,0.8,0,0.8,0.3,0.9,6.9,3.6,1.7,1.6,25,10,0,8,8.9,8.3,11,0,0,0,2.666666667,0.592592593,1.316666667,0.134353741,0.887640449,2.1,4,0.370786517
2019-11-08,9.22,Purdue Fort Wayne,scrim,3,red,defeat,29:40:00,Skarner,Nunu & Willump,Zac,Soraka,Leona,1,0,0,2,1,Mountain Mountain,top,thezdude3,Gnar,2,10,3,2,1,0,7.8,6.5,0.7,0.6,70.1,53,5.5,11.6,0,6.2,0,0.9,21.5,11.2,7.8,2.5,11,1,0,2,7.6,7.5,80,6,2,0,0.5,0.277777778,0.78,0.150289017,1.026315789,-6.9,-114,2.898876404
2019-11-08,9.22,Purdue Fort Wayne,scrim,3,red,defeat,29:40:00,Skarner,Nunu & Willump,Zac,Soraka,Leona,1,0,0,2,1,Mountain Mountain,jng,inhumani,Jarvan IV,2,7,10,2,1,0,6.2,3.8,1.3,1.1,90.1,55.5,28.3,6.3,0,12.3,1.5,5.9,25.6,13.2,9.8,2.5,2,3,0,3,8.7,7.5,24,83,56,5,1.714285714,0.666666667,0.885714286,0.119460501,0.712643678,-3.8,-77,3.606741573
2019-11-08,9.22,Purdue Fort Wayne,scrim,3,red,defeat,29:40:00,Skarner,Nunu & Willump,Zac,Soraka,Leona,1,0,0,2,1,Mountain Mountain,mid,KingBooty,Ahri,7,2,4,6,2,0,18.7,1.4,11.1,6.2,106.1,12.3,55.5,38.3,0,1.7,1.4,3,10.9,5.8,4.4,0.7,15,3,0,6,10.7,9.8,151,4,4,0,5.5,0.611111111,9.35,0.360308285,1.747663551,-1.4,-55,5.224719101
2019-11-08,9.22,Purdue Fort Wayne,scrim,3,red,defeat,29:40:00,Skarner,Nunu & Willump,Zac,Soraka,Leona,1,0,0,2,1,Mountain Mountain,adc,Brïsingr,Vayne,7,6,7,3,3,0,14.1,9.9,0.8,3.4,108.3,82.5,2.9,22.9,304,8.6,3.2,2.6,14.1,8.4,5.1,0.6,9,1,0,1,11.5,10.1,161,9,9,0,2.333333333,0.777777778,2.35,0.271676301,1.226086957,2.8,54,5.730337079
2019-11-08,9.22,Purdue Fort Wayne,scrim,3,red,defeat,29:40:00,Skarner,Nunu & Willump,Zac,Soraka,Leona,1,0,0,2,1,Mountain Mountain,sup,Gem27,Nami,0,2,16,0,0,0,5.1,0.2,4.6,0.4,11.3,1.4,9.2,0.7,0,1.6,1.4,5.1,5.2,1.6,2.9,0.7,15,5,0,4,6.8,5.7,7,0,0,0,8,0.888888889,2.55,0.098265896,0.75,-2.1,-4,0.235955056
